winner,0,46,NN
winner,1,41,NN
winner,0,41,NN
winner,1,39,NN
winner,0,36,NN
winner,0,76,NN
winner,0,46,NN
winner,0,56,NN
winner,1,36,NN
winner,2,47,NN
winner,3,63,NN
winner,4,64,NN
winner,5,53,NN
winner,6,36,NN
winner,7,38,NN
winner,8,37,NN
winner,9,40,NN
winner,10,38,NN
winner,11,66,NN
winner,12,36,NN
winner,13,55,NN
winner,14,36,NN
winner,15,40,NN
winner,16,40,NN
winner,17,53,NN
winner,18,38,NN
winner,19,44,NN
winner,20,36,NN
winner,21,42,NN
winner,22,37,NN
winner,23,39,NN
winner,24,40,NN
winner,25,66,NN
winner,26,36,NN
winner,27,38,NN
winner,28,63,NN
winner,29,54,NN
winner,30,40,NN
winner,31,46,NN
winner,32,36,NN
winner,33,38,NN
winner,34,37,NN
winner,35,37,NN
winner,36,40,NN
winner,37,39,NN
winner,38,38,NN
winner,39,38,NN
winner,40,40,NN
winner,41,36,NN
winner,42,36,NN
winner,43,40,NN
winner,44,39,NN
winner,45,47,NN
winner,46,36,NN
winner,47,42,NN
winner,48,38,NN
winner,49,82,NN
winner,0,36,NN
winner,1,45,NN
winner,2,37,NN
winner,3,44,NN
winner,4,38,NN
winner,5,38,NN
winner,6,44,NN
winner,7,44,NN
winner,8,41,NN
winner,9,36,NN
winner,10,37,NN
winner,11,42,NN
winner,12,37,NN
winner,13,37,NN
winner,14,38,NN
winner,15,47,NN
winner,16,36,NN
winner,17,45,NN
winner,18,42,NN
winner,19,40,NN
winner,20,47,NN
winner,21,43,NN
winner,22,39,NN
winner,23,38,NN
winner,24,46,NN
winner,25,38,NN
winner,26,41,NN
winner,27,56,NN
winner,28,38,NN
winner,29,36,NN
winner,30,37,NN
winner,31,75,NN
winner,32,36,NN
winner,33,43,NN
winner,34,37,NN
winner,35,47,NN
winner,36,55,NN
winner,37,36,NN
winner,38,38,NN
winner,39,36,NN
winner,40,51,NN
winner,41,36,NN
winner,42,58,NN
winner,43,36,NN
winner,44,37,NN
winner,45,40,NN
winner,46,38,NN
winner,47,41,NN
winner,48,46,NN
winner,49,54,NN
winner,0,37,NN
winner,1,39,NN
winner,2,36,NN
winner,3,72,NN
winner,4,36,NN
winner,5,38,NN
winner,6,45,NN
winner,7,40,NN
winner,8,36,NN
winner,9,49,NN
winner,10,60,NN
winner,11,52,NN
winner,12,40,NN
winner,13,40,NN
winner,14,38,NN
winner,15,40,NN
winner,16,37,NN
winner,17,38,NN
winner,18,54,NN
winner,19,62,NN
winner,20,36,NN
winner,21,38,NN
winner,22,67,NN
winner,23,50,NN
winner,24,38,NN
winner,25,54,NN
winner,26,38,NN
winner,27,58,NN
winner,28,37,NN
winner,29,38,NN
winner,30,36,NN
winner,31,56,NN
winner,32,48,NN
winner,33,37,NN
winner,34,49,NN
winner,35,38,NN
winner,36,53,NN
winner,37,42,NN
winner,38,55,NN
winner,39,59,NN
winner,40,36,NN
winner,41,39,NN
winner,42,42,NN
winner,43,52,NN
winner,44,44,NN
winner,45,56,NN
winner,46,58,NN
winner,47,43,NN
winner,48,38,NN
winner,49,36,NN
winner,0,38,NN
